1.01666e+18,Notable Two Hundred Day Moving Average Cross - $ETR #energy https://t.co/lcLj9Jn3lQ,Tue Jul 10 12:11:39 +0000 2018,bnkinvest,ETR,Entergy Corporation,False,,,,,,,,,
1.01666e+18,$MO $SKT $TGT $PNR $ED $T $KMB $BEN $PEP $ORI $UVV $LEG $PBCT $CSVI $MDP $BKH https://t.co/D5FMDkE3Te,Tue Jul 10 12:12:37 +0000 2018,SeekingAlpha,ED,Consolidated Edison,False,,,,,,,,,
1.01666e+18,Ameren $AEE Receives New Coverage from Analysts at Barclays https://t.co/RQzXpijvHo,Tue Jul 10 12:14:36 +0000 2018,dispatchtribune,AEE,Ameren Corporation,False,,,,,,,,,
1.01666e+18,$TD $RIOCF $KO $JNJ $BCE $CM $JCOUF $CBYDF $BNS $TU $RCI $FTS $CDUAF $CNI $CP $HRNNF $WM $MCD $YUM $YUMC $PEP $WMT https://t.co/azA7zZ04Ij,Tue Jul 10 12:17:20 +0000 2018,SeekingAlpha,WM,Waste Management,False,,,,,,,,,
1.01666e+18,$MO $SKT $TGT $PNR $ED $T $KMB $BEN $PEP $ORI $UVV $LEG $PBCT $CSVI $MDP $BKH https://t.co/gGH1UOcukG,Tue Jul 10 12:17:34 +0000 2018,kyookine,ED,Consolidated Edison,False,,,,,,,,,
1.01666e+18,Doug Schenkel assesses positioning and market expectations for Life Sciences Diagnostics &amp; Tools companies going in… https://t.co/C65ZzlsqKF,Tue Jul 10 12:18:43 +0000 2018,CowenResearch,HOLX,Hologic,True,,,,,,,,,
1.01666e+18,Ameren $AEE Receives New Coverage from Analysts at Barclays  https://t.co/JaQUprgMYe,Tue Jul 10 12:19:39 +0000 2018,EnterpriseLeade,AEE,Ameren Corporation,False,,,,,,,,,
1.01666e+18,Analyzing U.S. Silica $SLCA and United States Lime &amp; Minerals $USLM https://t.co/wW5SIuErzD,Tue Jul 10 12:19:44 +0000 2018,dailypoliticaln,SLCA,U.S. Silica Holdings,False,,,,,,,,,
1.01666e+18,#MichaelClayton $MON @MonsantoCo https://t.co/ztNKa7iVU7,Tue Jul 10 12:21:49 +0000 2018,rothmere,MON,Monsanto Company,False,,,,,,,,,
1.01666e+18,Zacks: Brokerages Anticipate Fidelity National Information Servcs Inc $FIS Will Post Earnings of $1.20 Per Share https://t.co/pCMsFKIjyV,Tue Jul 10 12:24:17 +0000 2018,TickerReport,FIS,Fidelity National Information Services,False,,,,,,,,,
1.01666e+18,Monsanto $MON Given Consensus Rating of “Hold” by Analysts https://t.co/FV19H8TvJx,Tue Jul 10 12:24:18 +0000 2018,TickerReport,MON,Monsanto Company,False,,,,,,,,,
1.01666e+18,Monsanto $MON Receives Average Rating of “Hold” from Analysts https://t.co/cisRt6c71p,Tue Jul 10 12:24:34 +0000 2018,WatchlistN,MON,Monsanto Company,False,,,,,,,,,
1.01666e+18,Zacks: Brokerages Anticipate Fidelity National Information Servcs Inc $FIS to Post $1.20 Earnings Per Share https://t.co/V8qpc5wvUn,Tue Jul 10 12:24:37 +0000 2018,WatchlistN,FIS,Fidelity National Information Services,False,,,,,,,,,
1.01666e+18,RT @WatchlistN: Monsanto $MON Receives Average Rating of “Hold” from Analysts https://t.co/cisRt6c71p,Tue Jul 10 12:25:43 +0000 2018,anti__Monsanto,MON,Monsanto Company,False,,,,,,,,,
1.01666e+18,Hot Stock under Consideration – UDR Inc (NYSE: UDR) https://t.co/9lmX7Feeox $UDR #stocks #stockmarket,Tue Jul 10 12:26:01 +0000 2018,StocksPredictr,UDR,UDR,False,,,,,,,,,
1.01666e+18,Reviewing Waste Management $WM and Advanced Disposal Services $ADSW https://t.co/jkCOjq25Mj,Tue Jul 10 12:27:11 +0000 2018,ConsumerFeed,WM,Waste Management,False,,,,,,,,,
1.01666e+18,Globus Medical $GMED and Becton Dickinson and $BDX Head to Head Review https://t.co/gNNiwdjbtL,Tue Jul 10 12:28:34 +0000 2018,TickerReport,BDX,Becton Dickinson,False,,,,,,,,,
