1.01926e+18,RT @mchaudhry82: $CVS Bullish short-term option play opened in CVS https://t.co/GqFVBGAlOI,Tue Jul 17 16:36:41 +0000 2018,I_Say_What,CVS,CVS Health Corporation,False,,,,,,,,,
1.01926e+18,$CAH $WBA https://t.co/qbyy0jJR2V,Tue Jul 17 16:36:44 +0000 2018,SeekingAlpha,WBA,Walgreens Boots Alliance,False,,,,,,,,,
1.01926e+18,Lindsell Train LTD Lifted Its Intuit INC $INTU Position by $11.66 Million; Stock Value Rose https://t.co/8XkcTNIsGM,Tue Jul 17 16:37:08 +0000 2018,reurope_stock,INTU,Intuit Inc.,False,,,,,,,,,
1.01926e+18,RT @PetroteqEnergy: Longshot #Oil Riches Draw Wildcatters to the #Utah #Desert $PQEFF $PQE $XOM $CVX $DVN #Energy https://t.co/mz2e8B2Yzm,Tue Jul 17 16:37:14 +0000 2018,Kevalp187,CVX,Chevron Corporation,False,,,,,,,,,
1.01926e+18,RT @PetroteqEnergy: Petroteq Energy Inc. Ready to Open #AsphaltRidge Facility at Full Capacity Expands Advisory Committee $PE $USO $KOS $V…,Tue Jul 17 16:37:24 +0000 2018,Kevalp187,PXD,Pioneer Natural Resources Company,False,,,,,,,,,
1.01926e+18,Lindsell Train LTD Maintains Stake in Intuit INC $INTU - https://t.co/jkLi7vALAS,Tue Jul 17 16:37:30 +0000 2018,bibeypost_stock,INTU,Intuit Inc.,False,,,,,,,,,
1.01926e+18,$1.06 EPS Expected for C.H. Robinson Worldwide Inc. $CHRW - https://t.co/xpLwDWhWHU,Tue Jul 17 16:37:33 +0000 2018,whatsonthorold2,CHRW,C.H. Robinson Worldwide,False,,,,,,,,,
1.01926e+18,C.H. Robinson Worldwide Inc. $CHRW Analysts See $1.06 EPS - https://t.co/MNOjz7ciU0,Tue Jul 17 16:37:54 +0000 2018,mmahotstuff1,CHRW,C.H. Robinson Worldwide,False,,,,,,,,,
1.01926e+18,A Look At Biotech In 2018 And The Biggest Catalysts Coming Up In The Second Half Of The Year… https://t.co/s1asFKbz8U,Tue Jul 17 16:38:20 +0000 2018,VegasTours,SRPT,Sarepta Therapeutics,False,,,,,,,,,
1.01926e+18,C.H. Robinson Worldwide Inc. $CHRW EPS Estimated At $1.06 https://t.co/W0mG8udDaW,Tue Jul 17 16:38:34 +0000 2018,reurope_stock,CHRW,C.H. Robinson Worldwide,False,,,,,,,,,
1.01926e+18,Kucoin lists the best hidden gem coins. Sign up to trade! 🚀  Register for BONUS ➡️ https://t.co/W65YPwOlX7  $PBL… https://t.co/ihATXYm8N6,Tue Jul 17 16:38:47 +0000 2018,PWestlake,NLY,Annaly Capital Management,False,,,,,,,,,
1.01926e+18,Bull pennant breakout for TJX? worked off extremely overbought MACD without giving up much ground set up well for… https://t.co/xIGqFxVaTy,Tue Jul 17 16:38:51 +0000 2018,GarySMorrow,TJX,The TJX Companies,False,,,,,,,,,
1.01926e+18,Analysts See $1.06 EPS for C.H. Robinson Worldwide Inc. $CHRW - https://t.co/W5gvgIW8vk,Tue Jul 17 16:38:53 +0000 2018,bibeypost_stock,CHRW,C.H. Robinson Worldwide,False,,,,,,,,,
1.01926e+18,#KOPIN just leaped ahead of everyone with @KopinGoldeni OS Middleware #UI layer for #AugmentedReality. They may hav… https://t.co/nYMdpg6jCl,Tue Jul 17 16:38:58 +0000 2018,DZierler,HIMX,Himax Technologies,False,,,,,,,,,
1.01926e+18,Binance has stop loss feature to help protect your assets! 💰  Register for BONUS ➡️ https://t.co/LBDJa9HGCV… https://t.co/YgB8ODnBbw,Tue Jul 17 16:39:00 +0000 2018,JosePerryman3,ESV,Ensco plc,False,,,,,,,,,
1.01926e+18,https://t.co/gGHIHAeAyG $ITUB  #42sTop42 Ita Unibanco up 1.5% = $994.6 million gain. $ITUB has made notable gains i… https://t.co/RhPYXr5A1M,Tue Jul 17 16:39:09 +0000 2018,42Stocks,ITUB,ItaíëŒ_ Unibanco Holding S.A.,False,,,,,,,,,
1.01926e+18,Coin listings pumps 20-100%. Our bot detects it before official announcements! 😊  Join Us ➡️… https://t.co/Hml0pi8z2W,Tue Jul 17 16:39:55 +0000 2018,oliverpaige625,DG,Dollar General Corporation,False,,,,,,,,,
1.01926e+18,RT @yusufhameed: Good news for $AAOI $FNSR $ACIA as more bandwidth needed within network possibly good for $NTNX https://t.co/3ZU5lTg7IE,Tue Jul 17 16:39:56 +0000 2018,cpowerfitness,NTNX,Nutanix,False,,,,,,,,,
1.01926e+18,Join us for signals from multiple paid groups all in one! 🚀  Join Us ➡️ https://t.co/TcQihqwiIR  $GLW $MS $EDG… https://t.co/rMoDpYGrC1,Tue Jul 17 16:40:20 +0000 2018,RicardoPark10,DKS,Dick's Sporting Goods,False,,,,,,,,,
1.01926e+18,Get access to 15+ premium paid groups for a fraction of the price! 😊  Join Us ➡️ https://t.co/fXiyVjoTBs  $ECC… https://t.co/To3TkVlnpE,Tue Jul 17 16:40:29 +0000 2018,victorblake392,HPQ,HP Inc.,False,,,,,,,,,
1.01926e+18,Prologis $PLD Announces Earnings Results https://t.co/CglxkKoPZD,Tue Jul 17 16:40:44 +0000 2018,MareaInformativ,PLD,Prologis,False,,,,,,,,,
1.01926e+18,Schwab's Q2 gains lead online brokers up https://t.co/HLE9pVe4zE $SCHW $IBKR $AMTD $ETFC,Tue Jul 17 16:41:13 +0000 2018,MarketCurrents,AMTD,TD Ameritrade Holding Corporation,False,,,,,,,,,
